name,char_wiki_link,extra_wiki_link
Mr. Vanderbilt,Mr._Vanderbilt,Mr.
Mrs. Vanderbilt,Mrs._Vanderbilt,Mrs.
Dr. Velimirovic,Dr._Velimirovic,Dr.
Gina Vendetti,Gina_Vendetti,Gina
Ian (Very Tall Man),Ian_(Very_Tall_Man),Ian
Veterinarian,Veterinarian,Veterinarian
Poor Violet,Poor_Violet,Poor
Don Vittorio DiMaggio,Don_Vittorio_DiMaggio,Don
The Warden,The_Warden,The
Professor Werner von Brawn,Professor_Werner_von_Brawn,Professor
Alex Whitney,Alex_Whitney,Alex
Groundskeeper Willie,Groundskeeper_Willie,Groundskeeper
Clancy Wiggum,Clancy_Wiggum,Clancy
Ralph Wiggum,Ralph_Wiggum,Ralph
Sarah Wiggum,Sarah_Wiggum,Sarah
Mr. Winfield,Mr._Winfield,Mr.
Sylvia Winfield,Sylvia_Winfield,Sylvia
Emily Winthrop,Emily_Winthrop,Emily
Greta Wolfcastle,Greta_Wolfcastle,Greta
Rainier Wolfcastle,Rainier_Wolfcastle,Rainier
Artie Ziff,Artie_Ziff,Artie
Üter Zörker,%C3%9Cter_Z%C3%B6rker,%C3%9Cter
Kearney Zzyzwicz,Kearney_Zzyzwicz,Kearney
"Kearney Zzyzwicz, Jr.","Kearney_Zzyzwicz,_Jr.",Kearney
Mona Simpson,Mona_Simpson,Mona
Herbert Powell,Herbert_Powell,Herbert
Abbie Simpson,Abbie_Simpson,Abbie
Picard Simpson,Picard_Simpson,Picard
Kirk Simpson,Kirk_Simpson,Kirk
Beggar Relative,Beggar_Relative,Beggar
Mary Frowning Cloud,Mary_Frowning_Cloud,Mary
Happy Dinsdale,%22Happy%22_Dinsdale,%22Happy%22
Dulcine Simpson,Dulcine_Simpson,Dulcine
Eckhardt Simpson,Eckhardt_Simpson,Eckhardt
Gabby Crouse,Gabby_Crouse,Gabby
Winifred Running Goat,Winifred_Running_Goat,Winifred
Yuma Hickman,Yuma_Hickman,Yuma
Homer the Thief,Homer_the_Thief,Homer
Hortense Simpson,Hortense_Simpson,Hortense
Hugo Simpson I,Hugo_Simpson_I,Hugo
Humphrey Little Goat,Humphrey_Little_Goat,Humphrey
Hurt Leg Simpson Relative,Hurt_Leg_Simpson_Relative,Hurt
Jane Nervous Goat,Jane_Nervous_Goat,Jane
Joe Puffing Goat,Joe_Puffing_Goat,Joe
Jug Band Manager,Jug_Band_Manager,Jug
"Maggie Simpson, Jr.","Maggie_Simpson,_Jr.",Maggie
Millionaire Actor,Millionaire_Actor,Millionaire
Prison Snitch (Simpson Relative),Prison_Snitch_(Simpson_Relative),Prison
"Bart Simpson, Jr.","Bart_Simpson,_Jr.",Bart
Chet Simpson,Chet_Simpson,Chet
Claretta Simpson,Claretta_Simpson,Claretta
Cyrus Simpson,Cyrus_Simpson,Cyrus
Dr. Simpson,Dr._Simpson,Dr.
Eliza Simpson,Eliza_Simpson,Eliza
Hiram Simpson,Hiram_Simpson,Hiram
Howland Simpson,Howland_Simpson,Howland
Hugo Simpson II,Hugo_Simpson_II,Hugo
Lambert Simpson,Lambert_Simpson,Lambert
Mabel Simpson,Mabel_Simpson,Mabel
Old Tut Simpson,%22Old_Tut%22_Simpson,%22Old
Orville Simpson,Orville_Simpson,Orville
Pippa Simpson,Pippa_Simpson,Pippa
Prudence Simpson,Prudence_Simpson,Prudence
Rupert Simpson,Rupert_Simpson,Rupert
Sven Simpson,Sven_Simpson,Sven
Trixie Simpson,Trixie_Simpson,Trixie
Tyrone Simpson,Tyrone_Simpson,Tyrone
Virgil Simpson,Virgil_Simpson,Virgil
Zeke Simpson,Zeke_Simpson,Zeke
Stanley Simpson,Stanley_Simpson,Stanley
Clowta Stillman,Clowta_Stillman,Clowta
Suing Simpson Relative,%22Suing%22_Simpson_Relative,%22Suing%22
Ivy Simpson,Ivy_Simpson,Ivy
Zorina Ovadia,Zorina_Ovadia,Zorina
Gretchen,Gretchen,Gretchen
Homer Jr.,Homer_Jr.,Homer
Clancy Bouvier,Clancy_Bouvier,Clancy
Gladys Gurney,Gladys_Gurney,Gladys
Alvarine Bisque,Alvarine_Bisque,Alvarine
Chester Bouvier,Chester_Bouvier,Chester
JoJo Bouvier,JoJo_Bouvier,JoJo
Pépé Bouvier,P%C3%A9p%C3%A9_Bouvier,P%C3%A9p%C3%A9
Victor Bouvier,Victor_Bouvier,Victor
Victor Bouvier II,Victor_Bouvier_II,Victor
Cléo Bouvier,Cl%C3%A9o_Bouvier,Cl%C3%A9o
Didi Bouvier,Didi_Bouvier,Didi
Honoré Bouvier,Honor%C3%A9_Bouvier,Honor%C3%A9
Marcel Bouvier,Marcel_Bouvier,Marcel
Bambi Petitbois,Bambi_Petitbois,Bambi
Yves Bouvier,Yves_Bouvier,Yves
"Nedward Flanders, Sr.","Nedward_Flanders,_Sr.",Nedward
Agnes Flanders,Agnes_Flanders,Agnes
Grandma Flanders,Grandma_Flanders,Grandma
Augusta Flanders,Augusta_Flanders,Augusta
Bonnie Flanders,Bonnie_Flanders,Bonnie
Canadian Flanders,Canadian_Flanders,Canadian
Connie Flanders,Connie_Flanders,Connie
Floradora Flannery,Floradora_Flannery,Floradora
Ginger Flanders,Ginger_Flanders,Ginger
Jehoshaphat Flanders,Jehoshaphat_Flanders,Jehoshaphat
José Flanders,Jos%C3%A9_Flanders,Jos%C3%A9
Lady Nedderly Flanders,Lady_Nedderly_Flanders,Lady
Lady Nedebel Flanders,Lady_Nedebel_Flanders,Lady
Lady Nedwina Dredful,Lady_Nedwina_Dredful,Lady
Lord Nose,Lord_Nose,Lord
Lord Thistlewick Flanders,Lord_Thistlewick_Flanders,Lord
Maude Flanders (ghost),Maude_Flanders_(ghost),Maude
Nedgar Flanders,Nedgar_Flanders,Nedgar
Nediana Flanders,Nediana_Flanders,Nediana
Nedmond Flanders,Nedmond_Flanders,Nedmond
Nedna Flanders,Nedna_Flanders,Nedna
Neduchadnezzar Flanders,Neduchadnezzar_Flanders,Neduchadnezzar
Nedwynn Flanders,Nedwynn_Flanders,Nedwynn
Sir Nederick Flanders,Sir_Nederick_Flanders,Sir
